id,role_0,role_1,role_2,role_3,role_4,role_5,role_6,role_7,role_8,role_9,role_10,role_11,role_12,role_13,role_14,role_15,role_16,role_17,role_18,role_19,role_20,role_21,role_22,role_23,role_24,role_25,role_26,role_27,role_28,role_29,role_30,role_31,role_32,role_33
Nabil Dirar,0,1,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,1,0,2,0,6,0,0,0,0,1,0,0,0,0,0,18,0
Mbark Boussoufa,0,1,1,0,0,0,0,1,0,0,4,0,0,0,0,0,0,1,0,0,3,0,2,0,0,2,1,1,0,0,0,0,22,0
Munir Mohand Mohamedi,0,1,2,0,0,1,2,0,7,1,0,0,0,0,0,0,1,1,3,0,0,7,0,0,2,0,0,0,0,0,0,0,1,0
Medhi Amine El Mouttaqi Benatia,0,2,0,0,0,0,1,0,0,2,1,0,0,0,0,1,0,1,2,1,0,4,2,0,0,0,0,0,0,0,0,0,11,0
Nordin Amrabat,0,0,3,0,0,1,0,0,1,2,0,0,0,0,2,0,0,0,0,0,3,1,1,0,0,1,0,1,0,0,0,0,13,0
Achraf Hakimi Mouh,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,3,1,9,0,0,0,0,0,0,0,0,0,0,10,0
Hakim Ziyech,0,1,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,1,0,1,0,2,2,0,0,0,2,0,0,0,0,0,22,0
Manuel Marouan da Costa Trinidade,0,2,2,0,0,0,0,3,0,0,2,0,0,1,0,1,1,1,0,0,4,0,1,0,0,2,1,0,0,0,0,0,13,0
Khalid Boutaïb/Ayoub El Kaabi,0,2,2,0,0,2,1,0,5,0,0,0,0,1,0,0,1,0,5,1,0,4,0,0,3,0,0,0,1,0,0,0,1,0
Younès Belhanda/Mehdi Carcela-González,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,24,0
Karim El Ahmadi Al Aroos/Fayçal Fajr,0,1,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,1,3,0,3,0,0,0,0,0,0,0,0,0,0,18,0
