id,role_0,role_1,role_2,role_3,role_4,role_5,role_6,role_7,role_8,role_9,role_10,role_11,role_12,role_13,role_14,role_15,role_16,role_17,role_18,role_19,role_20,role_21,role_22,role_23,role_24,role_25,role_26,role_27,role_28,role_29,role_30,role_31,role_32
Harry Kane,0,1,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bamidele Alli,1,1,0,0,1,1,0,1,1,2,0,0,1,0,0,0,0,0,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0
Kieran Trippier,4,0,0,5,0,1,0,0,1,5,0,0,0,0,1,0,1,2,1,0,3,0,0,0,0,1,0,0,0,0,0,1,0
Harry Winks,1,1,0,0,1,1,0,1,5,2,0,0,0,0,0,0,1,0,0,2,2,3,1,0,0,1,0,0,0,0,0,1,0
Danny Rose,2,1,0,0,1,0,2,2,1,2,0,0,0,0,1,0,0,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0
Heung-Min Son,1,2,0,0,1,1,1,3,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Toby Alderweireld,1,1,0,0,0,2,1,0,2,2,0,0,0,0,0,0,0,0,1,0,1,2,0,0,2,0,2,0,0,0,0,2,0
Hugo Lloris,0,2,2,0,1,0,0,1,2,0,0,0,0,1,0,0,0,0,1,1,2,0,0,0,0,0,2,0,0,0,0,1,0
Jan Vertonghen,1,2,0,0,2,0,1,0,1,1,0,0,0,0,0,0,0,2,1,3,1,1,1,0,1,0,2,0,0,0,0,1,0
Christian Dannemann Eriksen,0,1,3,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Moussa Sissoko,3,2,2,0,0,1,2,2,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,2,0,0,0,3,0,0,0,0,0
