id,role_0,role_1,role_2,role_3,role_4,role_5,role_6,role_7,role_8,role_9,role_10,role_11,role_12,role_13,role_14,role_15,role_16,role_17,role_18,role_19,role_20,role_21,role_22,role_23,role_24,role_25,role_26,role_27,role_28,role_29,role_30,role_31,role_32,role_33
Sergio Busquets i Burgos,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,1,0,0,0,0,26,0
Antoine Griezmann,0,0,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,7,0,0,0,3,0,0,0,0,0,0,14,0
Héctor Junior Firpo Adames,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,3,0,7,1,0,0,0,1,0,0,0,0,0,19,0
Samuel Yves Umtiti,0,2,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,3,0,1,0,3,0,2,1,0,0,0,0,14,0
Gerard Piqué Bernabéu,0,1,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,2,0,0,0,6,4,0,0,0,0,0,0,0,0,0,20,0
Luis Alberto Suárez Díaz,0,1,3,1,0,1,0,1,2,0,0,0,0,0,0,0,3,0,0,1,0,5,0,0,2,1,0,0,0,0,0,0,6,0
Ousmane Dembélé,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,3,0,0,0,0,0,0,0,0,0,26,0
Marc-André ter Stegen,0,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,8,0,0,10,0,0,0,0,1,0,1,0,0,0,3,0
Moussa Wagué,0,1,1,1,0,0,0,0,1,1,2,0,0,0,0,0,0,0,1,0,0,9,2,0,1,2,0,0,0,0,0,0,12,0
Frenkie de Jong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,28,0
Lionel Andrés Messi Cuccittini,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,0,0,0,2,0,0,0,0,0,21,0
